Line Number	Position	Line	Error	Message
208	35	"a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:sphingomyelin)"	BELSyntaxError	"General Parser Failure on line 208 at pos 35: a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:sphingomyelin)"
251	4	SET CellStructure = mitochondrion	IllegalAnnotationValueWarning	"""mitochondrion"" is not defined in the CellStructure annotation"
576	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
577	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
578	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
789	4	"SET Cell = ""neuropeptide Y neuron"""	IllegalAnnotationValueWarning	"""neuropeptide Y neuron"" is not defined in the Cell annotation"
943	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc1)"	BELSyntaxError	"General Parser Failure on line 943 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc1)"
944	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc2)"	BELSyntaxError	"General Parser Failure on line 944 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc2)"
945	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc3)"	BELSyntaxError	"General Parser Failure on line 945 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc3)"
946	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc4)"	BELSyntaxError	"General Parser Failure on line 946 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc4)"
954	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:cholesterol)"	BELSyntaxError	"General Parser Failure on line 954 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:cholesterol)"
958	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:phosphatidylinositol)"	BELSyntaxError	"General Parser Failure on line 958 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:phosphatidylinositol)"
959	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(SCHEM:phosphatidylserine)"	BELSyntaxError	"General Parser Failure on line 959 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(SCHEM:phosphatidylserine)"
960	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:sphingomyelin)"	BELSyntaxError	"General Parser Failure on line 960 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:sphingomyelin)"
968	35	"a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:lecithin)"	BELSyntaxError	"General Parser Failure on line 968 at pos 35: a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:lecithin)"
969	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:lecithin)"	BELSyntaxError	"General Parser Failure on line 969 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:lecithin)"
973	35	"a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:""cholesterol ester"")"	BELSyntaxError	"General Parser Failure on line 973 at pos 35: a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:""cholesterol ester"")"
974	35	"a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:cholesterol)"	BELSyntaxError	"General Parser Failure on line 974 at pos 35: a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:cholesterol)"
975	35	"a(SCHEM:""Low Density Lipoprotein"") hasComponent a(SCHEM:Triacylglycerol)"	BELSyntaxError	"General Parser Failure on line 975 at pos 35: a(SCHEM:""Low Density Lipoprotein"") hasComponent a(SCHEM:Triacylglycerol)"
976	35	"a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:phospholipid)"	BELSyntaxError	"General Parser Failure on line 976 at pos 35: a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:phospholipid)"
977	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:""cholesterol ester"")"	BELSyntaxError	"General Parser Failure on line 977 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:""cholesterol ester"")"
