Line Number	Position	Line	Error	Message
252	4	SET CellStructure = mitochondrion	IllegalAnnotationValueWarning	"""mitochondrion"" is not defined in the CellStructure annotation"
577	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
578	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
579	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
790	4	"SET Cell = ""neuropeptide Y neuron"""	IllegalAnnotationValueWarning	"""neuropeptide Y neuron"" is not defined in the Cell annotation"
1026	37	cat(p(RGD:Hmox1)) rateLimitingStepOf deg(a(CHEBI:heme))	BELSyntaxError	General Parser Failure on line 1026 at pos 37: cat(p(RGD:Hmox1)) rateLimitingStepOf deg(a(CHEBI:heme))
1077	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
1120	4	"SET CellStructure = ""extracellular matrix"""	IllegalAnnotationValueWarning	"""extracellular matrix"" is not defined in the CellStructure annotation"
1140	4	"SET CellStructure = ""extracellular matrix"""	IllegalAnnotationValueWarning	"""extracellular matrix"" is not defined in the CellStructure annotation"
1278	4	SET MeSHAnatomy = tumor	IllegalAnnotationValueWarning	"""tumor"" is not defined in the MeSHAnatomy annotation"
1611	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
1721	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
1738	27	p(RGD:Prl) increases cat(p(RGD:Akr1c18))	MissingNamespaceNameWarning	"""Akr1c18"" is not in the RGD namespace"
2549	4	SET CellStructure = mitochondrion	IllegalAnnotationValueWarning	"""mitochondrion"" is not defined in the CellStructure annotation"
2575	4	"SET MeSHAnatomy = ""infected tissue"""	IllegalAnnotationValueWarning	"""infected tissue"" is not defined in the MeSHAnatomy annotation"
2618	4	"SET MeSHAnatomy = ""infected tissue"""	IllegalAnnotationValueWarning	"""infected tissue"" is not defined in the MeSHAnatomy annotation"
2627	4	"SET MeSHAnatomy = ""infected tissue"""	IllegalAnnotationValueWarning	"""infected tissue"" is not defined in the MeSHAnatomy annotation"
2636	4	"SET MeSHAnatomy = ""infected tissue"""	IllegalAnnotationValueWarning	"""infected tissue"" is not defined in the MeSHAnatomy annotation"
2644	4	"SET MeSHAnatomy = ""infected tissue"""	IllegalAnnotationValueWarning	"""infected tissue"" is not defined in the MeSHAnatomy annotation"
2847	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
