Line Number	Position	Line	Error	Message
59	53	"bp(GOBP:""response to oxidative stress"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
296	22	complex(p(HGNC:VHL),p(HGNC:TCEB1),p(HGNC:TCEB2),p(HGNC:CUL2),p(HGNC:RBX1))	MissingNamespaceNameWarning	"""TCEB1"" is not in the HGNC namespace"
312	69	p(HGNC:HIF1A,pmod(P,H)) directlyIncreases (cat(complex(p(HGNC:VHL),p(HGNC:TCEB1),p(HGNC:TCEB2),p(HGNC:RBX1),p(HGNC:CUL2))) directlyIncreases deg(p(HGNC:HIF1A)))	MissingNamespaceNameWarning	"""TCEB1"" is not in the HGNC namespace"
339	4	"SET Disease = ""Carcinoma, Renal Cell"""	IllegalAnnotationValueWarning	"""Carcinoma, Renal Cell"" is not defined in the Disease annotation"
472	4	"SET Disease = ""Carcinoma, Renal Cell"""	IllegalAnnotationValueWarning	"""Carcinoma, Renal Cell"" is not defined in the Disease annotation"
963	4	"SET CellLine = ""T-47D"""	IllegalAnnotationValueWarning	"""T-47D"" is not defined in the CellLine annotation"
978	4	"SET Disease = ""Breast Neoplasms"""	IllegalAnnotationValueWarning	"""Breast Neoplasms"" is not defined in the Disease annotation"
1049	4	"SET CellLine = ""T-47D"""	IllegalAnnotationValueWarning	"""T-47D"" is not defined in the CellLine annotation"
1118	49	"path(SDIS:""mitochondrial damage"") increases path(MESHD:""Drug-Induced Liver Injury"")"	MissingNamespaceNameWarning	"""Drug-Induced Liver Injury"" is not in the MESHD namespace"
1141	3	bp(GOBP:necrosis) increases path(MESHD:Hepatitis)	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
1228	69	tloc(p(HGNC:CYCS),MESHCS:Mitochondria,MESHCS:Cytoplasm) increases bp(GOBP:necrosis)	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
1245	0	"bp(SDIS:""mitochondrial DNA damage"") decreases bp(GOBP:""mitochondrial respiratory chain complex assembly"")"	InvalidFunctionSemantic	BiologicalProcess SDIS:mitochondrial DNA damage should be encoded as one of: Pathology
1315	83	"bp(GOBP:""positive regulation of mitochondrial membrane permeability"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
1341	4	SET Cell = Hepatocytes	IllegalAnnotationValueWarning	"""Hepatocytes"" is not defined in the Cell annotation"
1359	32	"path(SDIS:Steatosis) association bp(SDIS:""Lipid Droplet"")"	InvalidFunctionSemantic	BiologicalProcess SDIS:Lipid Droplet should be encoded as one of: RNA, Abundance, Protein, Gene, Complex, miRNA
1368	4	"SET Cell = ""Kupffer Cells"""	IllegalAnnotationValueWarning	"""Kupffer Cells"" is not defined in the Cell annotation"
1373	23	p(HGNC:TGFB1) increases bp(SDIS:fibrosis)	InvalidFunctionSemantic	BiologicalProcess SDIS:fibrosis should be encoded as one of: Pathology
1472	4	"SET CellLine = ""HT-1080"""	IllegalAnnotationValueWarning	"""HT-1080"" is not defined in the CellLine annotation"
1521	4	"SET Disease = ""Breast Neoplasms"""	IllegalAnnotationValueWarning	"""Breast Neoplasms"" is not defined in the Disease annotation"
1579	36	"p(HGNC:VEGFA) increases (composite(act(p(HGNC:ITGB1)),kin(p(HGNC:PRKCA))) increases bp(GOBP:""cell-matrix adhesion""))"	BELSyntaxError	"General Parser Failure on line 1579 at pos 36: p(HGNC:VEGFA) increases (composite(act(p(HGNC:ITGB1)),kin(p(HGNC:PRKCA))) increases bp(GOBP:""cell-matrix adhesion""))"
2106	4	SET Cell = Leukocytes	IllegalAnnotationValueWarning	"""Leukocytes"" is not defined in the Cell annotation"
2192	4	"SET Disease = ""Plaque, Atherosclerotic"""	IllegalAnnotationValueWarning	"""Plaque, Atherosclerotic"" is not defined in the Disease annotation"
2229	4	"SET Cell = {""Cells, Cultured"",""Endothelial Cells""}"	IllegalAnnotationValueWarning	"""Cells, Cultured"" is not defined in the Cell annotation"
2240	51	"a(SCHEM:""Smoke extract, cigarette"") causesNoChange (p(SFAM:""VEGF Family"") increases bp(GOBP:""cell proliferation""))"	BELSyntaxError	"General Parser Failure on line 2240 at pos 51: a(SCHEM:""Smoke extract, cigarette"") causesNoChange (p(SFAM:""VEGF Family"") increases bp(GOBP:""cell proliferation""))"
2286	4	"SET CellLine = ""HUV-EC-C"""	IllegalAnnotationValueWarning	"""HUV-EC-C"" is not defined in the CellLine annotation"
2438	4	"SET Cell = ""Cells, Cultured"""	IllegalAnnotationValueWarning	"""Cells, Cultured"" is not defined in the Cell annotation"
2476	4	SET Disease = Fibrosis	IllegalAnnotationValueWarning	"""Fibrosis"" is not defined in the Disease annotation"
2772	0	"a(SFAM:""HSPA Family"") directlyDecreases tscript(complex(SCOMP:""Nfkb Complex""))"	InvalidFunctionSemantic	Abundance SFAM:HSPA Family should be encoded as one of: Protein
2801	4	"SET Cell = ""Cells, Cultured"""	IllegalAnnotationValueWarning	"""Cells, Cultured"" is not defined in the Cell annotation"
2957	4	"SET Cell = ""Erythroid Cells"""	IllegalAnnotationValueWarning	"""Erythroid Cells"" is not defined in the Cell annotation"
